Epoch 55/300: Train Loss: 0.0093, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9706
Epoch 56/300: Train Loss: 0.0101, Train Acc: 1.0000, Test Acc: 0.9496, Best Test Acc: 0.9706
Epoch 57/300: Train Loss: 0.0098, Train Acc: 0.9990, Test Acc: 0.9454, Best Test Acc: 0.9706
Epoch 58/300: Train Loss: 0.0088, Train Acc: 1.0000, Test Acc: 0.9412, Best Test Acc: 0.9706
Epoch 59/300: Train Loss: 0.0085, Train Acc: 1.0000, Test Acc: 0.9412, Best Test Acc: 0.9706
Epoch 60/300: Train Loss: 0.0084, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9706
Epoch 61/300: Train Loss: 0.0081, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9706
Epoch 62/300: Train Loss: 0.0077, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9790
Epoch 63/300: Train Loss: 0.0084, Train Acc: 1.0000, Test Acc: 0.9496, Best Test Acc: 0.9790
Epoch 64/300: Train Loss: 0.0083, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 65/300: Train Loss: 0.0071, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 66/300: Train Loss: 0.0059, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 67/300: Train Loss: 0.0062, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 68/300: Train Loss: 0.0057, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9790
Epoch 69/300: Train Loss: 0.0056, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 70/300: Train Loss: 0.0056, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9790
Epoch 71/300: Train Loss: 0.0051, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9790
Epoch 72/300: Train Loss: 0.0052, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 73/300: Train Loss: 0.0057, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9790
Epoch 74/300: Train Loss: 0.0068, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 75/300: Train Loss: 0.0055, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 76/300: Train Loss: 0.0049, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 77/300: Train Loss: 0.0045, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9790
Epoch 78/300: Train Loss: 0.0047, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9790
Epoch 79/300: Train Loss: 0.0051, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 80/300: Train Loss: 0.0055, Train Acc: 1.0000, Test Acc: 0.9496, Best Test Acc: 0.9790
Epoch 81/300: Train Loss: 0.0050, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9790
Epoch 82/300: Train Loss: 0.0049, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 83/300: Train Loss: 0.0044, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 84/300: Train Loss: 0.0042, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 85/300: Train Loss: 0.0043, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9790
Epoch 86/300: Train Loss: 0.0049, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 87/300: Train Loss: 0.0045, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 88/300: Train Loss: 0.0050, Train Acc: 1.0000, Test Acc: 0.9412, Best Test Acc: 0.9790
Epoch 89/300: Train Loss: 0.0050, Train Acc: 1.0000, Test Acc: 0.9496, Best Test Acc: 0.9790
Epoch 90/300: Train Loss: 0.0042, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 91/300: Train Loss: 0.0039, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9790
Epoch 92/300: Train Loss: 0.0039, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 93/300: Train Loss: 0.0039, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 94/300: Train Loss: 0.0036, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 95/300: Train Loss: 0.0035, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 96/300: Train Loss: 0.0033, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 97/300: Train Loss: 0.0034, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 98/300: Train Loss: 0.0032, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
